NO,latitude,longitude,NAMA,KALURAHAN,KAPANEWON,DPD,KATEGORI,JENIS WISATA,JENIS WISATA FINAL,compile,Kabupaten
1,-7.932859,110.2550311,*Desa Wisata Lopati,Trimurti,Srandakan,DPD - Segoro Kidul,Wisata Berkembang,Desa Wisata,Desa Wisata,Desa Wisata,Bantul
2,-7.918691,110.444271,Desa Wisata Bambun Karangasem,Muntuk,Dlingo,DPD - Songgo Langit,Wisata Maju,Desa Wisata,Desa Wisata,Desa Wisata,Bantul
3,-7.8901345,110.467237,Desa Wisata Banyu Nibo Rejosari,Terong,Dlingo,DPD - Songgo Langit,Wisata Berkembang,Desa Wisata,Desa Wisata,Desa Wisata,Bantul
4,-7.823339,110.411794,Desa Wisata Baturetno,Baturetno,Banguntapan,DPD - Songgo Negoro,Wisata Maju,Desa Wisata,Desa Wisata,Desa Wisata,Bantul
5,-7.908846,110.379664,Desa Wisata Bendo,Wukirsari,Imogiri,DPD - Songgo Langit,Wisata Maju,Desa Wisata,Desa Wisata,Desa Wisata,Bantul
6,-7.8887788,110.4132156,Desa Wisata Bumi Mataram Pleret,Pleret,Pleret,DPD - Songgo Langit,Wisata Maju,Desa Wisata,Desa Wisata,Desa Wisata,Bantul
7,-7.924878,110.372328,Desa Wisata Candran,Kebon Agung,Imogiri,DPD - Songgo Langit,Wisata Maju,Desa Wisata,Desa Wisata,Desa Wisata,Bantul
8,-7.90179,110.280471,Desa Wisata Carakan,Wijirejo,Pandak,DPD - Pangeran Diponegoro,Wisata Maju,Desa Wisata,Desa Wisata,Desa Wisata,Bantul
9,-7.8794207,110.3922042,Desa Wisata Dewa Batu,Trimulyo,Jetis,DPD - Pancer Bumi,Wisata Maju,Desa Wisata,Desa Wisata,Desa Wisata,Bantul
10,-7.8262989,110.4830309,Desa Wisata Dewi Mulia,Srimulyo,Piyungan,DPD - Songgo Langit,Wisata Maju,Desa Wisata,Desa Wisata,Desa Wisata,Bantul
